time [ms],B1 [uT]
-0.477477477477477+0i,0.0067629167759903+0.0460486134266255i
-0.475475475475476+0i,-0.0141704483386042+0.0487485375096282i
-0.473473473473473+0i,-0.035913332768507+0.0416476156889813i
-0.471471471471472+0i,-0.0538185238635275+0.024713935604195i
-0.469469469469469+0i,-0.0634482033436865+0.0001125837568619i
-0.467467467467467+0i,-0.061596532869711-0.0280214028122278i
-0.465465465465466+0i,-0.0471381291383122-0.0542740248900464i
-0.463463463463463+0i,-0.0214990789247299-0.0729927262122464i
-0.461461461461461+0i,0.0113843020436227-0.0794764427353515i
-0.459459459459459+0i,0.0456515195493098-0.0710686167601495i
-0.457457457457457+0i,0.0745656998118131-0.0479101570595962i
-0.455455455455456+0i,0.0918352442827626-0.0131654967091695i
-0.453453453453453+0i,0.0929503972761887+0.0273656039283482i
-0.451451451451451+0i,0.0762554267085431+0.0662138736300632i
-0.449449449449449+0i,0.0435144474220899+0.0956237590743688i
-0.447447447447447+0i,-0.000180889346727+0.109096701354525i
-0.445445445445445+0i,-0.047186680950394+0.102788034700812i
-0.443443443443443+0i,-0.088650730074889+0.0764627752750971i
-0.441441441441441+0i,-0.116187714006522+0.03378863916989i
-0.439439439439439+0i,-0.123567101525149-0.018132960374185i
-0.437437437437437+0i,-0.108075148203246-0.06994816955765i
-0.435435435435435+0i,-0.071259895203682-0.111748000014014i
-0.433433433433433+0i,-0.018876935497173-0.134971535164399i
-0.431431431431431+0i,0.039995503417711-0.134147995598118i
-0.429429429429429+0i,0.094539484163012-0.108124781619214i
-0.427427427427427+0i,0.134200603853853-0.060514020966829i
-0.425425425425425+0i,0.15073786033215+0.000767344286217i
-0.423423423423423+0i,0.139920624477994+0.064815468271426i
-0.421421421421421+0i,0.102525500841051+0.119696045488227i
-0.419419419419419+0i,0.044408878388481+0.154685341884291i
-0.417417417417417+0i,-0.024397037487229+0.162371927514794i
-0.415415415415415+0i,-0.091428202007779+0.140205999510152i
-0.413413413413413+0i,-0.144067404505347+0.091175378150869i
-0.411411411411411+0i,-0.17193734217654+0.023445493741876i
-0.409409409409409+0i,-0.168950988001673-0.051003948143725i
-0.407407407407407+0i,-0.134613212303895-0.118517542246529i
-0.405405405405405+0i,-0.074299269703761-0.166292724378143i
-0.403403403403403+0i,0.001575313234414-0.184825831141606i
-0.401401401401401+0i,0.079367904802803-0.169805078861284i
-0.399399399399399+0i,0.144686799511366-0.123072817658189i
-0.397397397397397+0i,0.185079555983512-0.052447836347774i
-0.395395395395395+0i,0.192424877287173+0.029588371883538i
-0.393393393393393+0i,0.164565393377053+0.108119817334991i
-0.391391391391391+0i,0.105852877218341+0.168536950430274i
-0.389389389389389+0i,0.026477739893539+0.199281528456444i
-0.387387387387387+0i,-0.059316134126904+0.194074904850341i
-0.385385385385385+0i,-0.13581562342993+0.153197068108708i
-0.383383383383383+0i,-0.188747840269184+0.083556152061889i
-0.381381381381381+0i,-0.207970497845973-0.002486510875284i
-0.379379379379379+0i,-0.18943115931804-0.089334798954593i
-0.377377377377377+0i,-0.136013980034343-0.161017303335777i
-0.375375375375375+0i,-0.057097943626151-0.204157889322805i
-0.373373373373373+0i,0.033107544024774-0.210498864977036i
-0.371371371371371+0i,0.118151336797774-0.178495916311161i
-0.369369369369369+0i,0.182376621401927-0.113674078760049i
-0.367367367367367+0i,0.213837735682097-0.027665151110578i
-0.365365365365365+0i,0.206548185201362+0.063904425472178i
-0.363363363363363+0i,0.161632031092286+0.144287446704496i
-0.361361361361361+0i,0.087154819680468+0.198716958934878i
-0.359359359359359+0i,-0.003341817869586+0.217153436702512i
-0.357357357357357+0i,-0.093332882463541+0.1961608316036i
-0.355355355355355+0i,-0.166365962131003+0.139556388761974i
-0.353353353353353+0i,-0.209108557012738+0.057709359677847i
-0.351351351351351+0i,-0.21381528932786-0.034381636991271i
-0.349349349349349+0i,-0.179752310222459-0.11987233451426i
-0.347347347347347+0i,-0.113312886160549-0.183194936683888i
-0.345345345345345+0i,-0.026805268586895-0.212932699345169i
-0.343343343343343+0i,0.063855611450927-0.203908997782678i
-0.341341341341341+0i,0.142115102130701-0.158102820192368i
-0.339339339339339+0i,0.193844611118537-0.084225699616191i
-0.337337337337337+0i,0.209930829239833+0.003951462825332i
-0.335335335335335+0i,0.187906785479581+0.090197923682741i
-0.333333333333333+0i,0.132327753061432+0.158852888292357i
-0.331331331331331+0i,0.05383470781509+0.197712695719797i
-0.329329329329329+0i,-0.03290343218334+0.20023529254094i
-0.327327327327327+0i,-0.111967796775183+0.166657074087572i
-0.325325325325325+0i,-0.169155613072578+0.103827976507536i
-0.323323323323323+0i,-0.194573892111842+0.023815985063128i
-0.321321321321321+0i,-0.184379298133751-0.058435435288707i
-0.319319319319319+0i,-0.141352484758752-0.127938531061736i
-0.317317317317317+0i,-0.074221886807407-0.172437935613791i
-0.315315315315315+0i,0.004108801765532-0.184610305673249i
-0.313313313313313+0i,0.079069748044344-0.163284745609677i
-0.311311311311311+0i,0.137178369678122-0.113477095717625i
-0.309309309309309+0i,0.168509313237752-0.045262279462925i
-0.307307307307307+0i,0.168420330823295+0.028269522495571i
-0.305305305305305+0i,0.138227732691084+0.093557893440996i
-0.303303303303303+0i,0.084735054046325+0.139118423259888i
-0.301301301301301+0i,0.018742018668514+0.157604203698905i
-0.299299299299299+0i,-0.047146158133573+0.147004681418624i
-0.297297297297297+0i,-0.10096372114436+0.110782762826075i
-0.295295295295295+0i,-0.133603424744806+0.056963724202919i
-0.293293293293293+0i,-0.140389978909446-0.003606770024261i
-0.291291291291291+0i,-0.121729432645018-0.059463488064197i
-0.289289289289289+0i,-0.082747861971582-0.100732921554851i
-0.287287287287287+0i,-0.03203550103883-0.12092187023063i
