time [seconds],signal [mV]
0.269269269269269+0i,-1.27918292300286-0.07276281294471i
0.27027027027027+0i,-1.11692861620965+0.05357120012689i
0.271271271271271+0i,-1.48940927462126-0.28841482606863i
0.272272272272272+0i,-1.10310764240821-0.60500780237015i
0.273273273273273+0i,-1.28029011217029-0.53729920643446i
0.274274274274274+0i,-1.14006632921174-1.13981961811237i
0.275275275275275+0i,-0.76185317313479-1.01922519546728i
0.276276276276276+0i,-0.89030415524097-1.31905096899638i
0.277277277277277+0i,-0.25946467338635-1.51292534695595i
0.278278278278278+0i,-0.2261903269556-1.25483782251897i
0.279279279279279+0i,0.07308286526519-1.60068217312772i
0.28028028028028+0i,0.51981892778862-1.18502607106626i
0.281281281281281+0i,0.37764281197972-1.19474177517098i
0.282282282282282+0i,0.91641076349602-1.11940570189319i
0.283283283283283+0i,0.798156711758937-0.651200971565626i
0.284284284284284+0i,0.927046608365265-0.841006965590459i
0.285285285285285+0i,1.18991341679343-0.31690644833081i
0.286286286286286+0i,0.876511974471008-0.258975044779012i
0.287287287287287+0i,1.24836031460766-0.1256327624078i
0.288288288288288+0i,0.952823140070171+0.380874331094574i
0.289289289289289+0i,0.894904013517033+0.215755375520856i
0.29029029029029+0i,0.938849589845745+0.733587058884238i
0.291291291291291+0i,0.396639752080087+0.725724761777259i
0.292292292292292+0i,0.543522643917743+0.734730014059449i
0.293293293293293+0i,0.05238207242768+1.03901757904298i
0.294294294294294+0i,-0.12960400047194+0.618988385963602i
0.295295295295295+0i,-0.135346877328028+0.855007887933815i
0.296296296296296+0i,-0.633345976285238+0.564244728461472i
0.297297297297297+0i,-0.367807417953072+0.336882060761483i
0.298298298298298+0i,-0.69412972620632+0.455037043594052i
0.299299299299299+0i,-0.681250198684719-0.084020822617457i
0.3003003003003+0i,-0.503110689861817+0.088896418341847i
0.301301301301301+0i,-0.825227873184374-0.234777973688509i
0.302302302302302+0i,-0.398015109788196-0.465854813159421i
0.303303303303303+0i,-0.569644491211079-0.347628528965186i
0.304304304304304+0i,-0.384191060772775-0.867244039267977i
0.305305305305305+0i,-0.02718812559513-0.643597023869662i
0.306306306306306+0i,-0.155634267490639-0.875395497528888i
0.307307307307307+0i,0.452851954069631-0.944460580241297i
