time [seconds],signal [mV]
0.978978978978979+0i,0.168139858288055+0.091841648571563i
0.97997997997998+0i,0.372202466005772+0.194365063549728i
0.980980980980981+0i,-0.15240796421253+0.290018705668631i
0.981981981981982+0i,-0.104475545669351-0.11784037364629i
0.982982982982983+0i,-0.223402636154524+0.121341598080289i
0.983983983983984+0i,-0.551224873729044-0.361337091551674i
0.984984984984985+0i,-0.217855849447216-0.469444869074808i
0.985985985985986+0i,-0.543047954467306-0.556062372972166i
0.986986986986987+0i,-0.23572856870964-1.07277108124i
0.987987987987988+0i,-0.079005642040568-0.860447017535127i
0.988988988988989+0i,-0.13218561508521-1.2866900575811i
0.98998998998999+0i,0.43084706997114-1.25883785235461i
0.990990990990991+0i,0.27702989119994-1.17217765761324i
0.991991991991992+0i,0.70073659514507-1.48989461510071i
0.992992992992993+0i,0.91531690385365-1.08405389885561i
0.993993993993994+0i,0.89596939231835-1.33182568493875i
0.994994994994995+0i,1.46986865011408-1.12643072572758i
0.995995995995996+0i,1.31435041328236-0.86817983418329i
0.996996996996997+0i,1.72259264076386-0.99242531953099i
0.997997997997998+0i,1.87745639661986-0.37798271315716i
0.998998998998999+0i,1.75286777810573-0.41206701131553i
1+0i,2.15e+00-1e-14i
